Ticker,TSM,UNH,V,AXON,T,XOM,PLTR,ABBV,FPI,APD
TSM,0.0005078006941782597,1.1521553284080166e-05,0.00010355474384110985,0.00020702476167219771,-6.499520868313635e-07,5.1749268849208035e-05,0.00036775869975653097,5.5209450502814204e-06,8.131383863035205e-05,7.983768396849422e-05
UNH,1.1521553284080166e-05,0.000201824639416555,5.470419129547815e-05,2.6501958059621954e-05,3.4075744203461566e-05,4.223974150595976e-05,3.3270704567284064e-05,5.851329238187496e-05,4.104959337126e-05,5.747038598725431e-05
V,0.00010355474384110985,5.470419129547815e-05,0.000204663425959192,0.00011402158183896122,5.199343410512068e-05,6.191803112590524e-05,0.0001788483276619449,4.3851780509108703e-05,6.612162753406436e-05,7.199618594853431e-05
AXON,0.00020702476167219771,2.6501958059621954e-05,0.00011402158183896122,0.0007680475249804497,1.7125347382454202e-05,2.968244055496201e-05,0.00048196788900898847,1.9648543659964306e-05,8.555813308889152e-05,9.726973689933938e-05
T,-6.499520868313635e-07,3.4075744203461566e-05,5.199343410512068e-05,1.7125347382454202e-05,0.00022655694001989828,5.5987270758412264e-05,5.9713959107035677e-05,3.7685786822667624e-05,4.07020201314214e-05,5.19437735302877e-05
XOM,5.1749268849208035e-05,4.223974150595976e-05,6.191803112590524e-05,2.968244055496201e-05,5.5987270758412264e-05,0.000305990942083692,7.949351960525408e-05,4.4377040975857085e-05,0.00010279916270986598,5.6414438691260766e-05
PLTR,0.00036775869975653097,3.3270704567284064e-05,0.0001788483276619449,0.00048196788900898847,5.9713959107035677e-05,7.949351960525408e-05,0.0017281179285476241,-2.142630420766715e-06,0.0001485364263451906,9.435362913958773e-05
ABBV,5.5209450502814204e-06,5.851329238187496e-05,4.3851780509108703e-05,1.9648543659964306e-05,3.7685786822667624e-05,4.4377040975857085e-05,-2.142630420766715e-06,0.00018615618878710483,1.3384259265059948e-05,3.2996056340394576e-05
FPI,8.131383863035205e-05,4.104959337126e-05,6.612162753406436e-05,8.555813308889152e-05,4.07020201314214e-05,0.00010279916270986598,0.0001485364263451906,1.3384259265059948e-05,0.00040841237497101407,5.9002214126895646e-05
APD,7.983768396849422e-05,5.747038598725431e-05,7.199618594853431e-05,9.726973689933938e-05,5.19437735302877e-05,5.6414438691260766e-05,9.435362913958773e-05,3.2996056340394576e-05,5.9002214126895646e-05,0.0002682185036080526
